	Acinonyx_jubatus__aciJub1_HiC.fasta_v2.functional.proteins	Ailurus_fulgens__ASM200746v1_HiC.fasta_v2.functional.proteins	Axis_porcinus__ASM379854v1_HiC.fasta_v2.functional.proteins	Balaenoptera_edeni__Balaenoptera_edeni_HiC.fasta_v2.functional.proteins	Bassariscus_sumichrasti__Bassariscus_sumichrasti_HiC.fasta_v2.functional.proteins	Bison_bison__Bison_UMD1.0_HiC.fasta_v2.functional.proteins	Camelus_dromedarius__PRJNA234474_Ca_dromedarius_V1.0_HiC.fasta_v2.functional.proteins	Canis_lupus_dingo__ASM325472v1_HiC.fasta_v2.functional.proteins	Canis_lupus_familiaris__canFamDis_HiC.fasta_v2.functional.proteins	Castor_canadensis__C.can_genome_v1.0_HiC.fasta_v2.functional.proteins	Cavia_porcellus__Cavpor3.0_HiC.fasta_v2.functional.proteins	Cebuella_pygmaea__Cebuella_pygmaea_HiC.fasta_v2.functional.proteins	Ceratotherium_simum__CerSimSim1.0_HiC.fasta_v2.functional.proteins	Chinchilla_x__ChiLan1.0_HiC.fasta_v2.functional.proteins	Choloepus_hoffmanni__C_hoffmanni-2.0.1_HiC.fasta_v2.functional.proteins	Coendou_prehensilis__Coendou_prehensilis_HiC.fasta_v2.functional.proteins	Connochaetes_taurinus__BWD_HiC.fasta_v2.functional.proteins	Cricetulus_griseus__CriGri-PICR_HiC.fasta_v2.functional.proteins	Crocuta_crocuta__Crocuta_crocuta_HiC.fasta_v2.functional.proteins	Cryptoprocta_ferox__Cryptoprocta_ferox_HiC.fasta_v2.functional.proteins	Delphinapterus_leucas__ASM228892v2_HiC.fasta_v2.functional.proteins	Didelphis_virginiana__dv-2k.fasta_v2.functional.proteins	Eidolon_helvum__ASM46528v1_HiC.fasta_v2.functional.proteins	Elephas_maximus__Elephas_maximus_HiC.fasta_v2.functional.proteins	Enhydra_lutris__ASM228890v2_HiC.fasta_v2.functional.proteins	Equus_asinus__ASM303372v1_HiC.fasta_v2.functional.proteins	Erethizon_dorsatum__GSC_porc_1.0_HiC.fasta_v2.functional.proteins	Eubalaena_glacialis__Eubalaena_glacialis_HiC.fasta_v2.functional.proteins	Eulemur_flavifrons__Eflavifronsk33QCA_HiC.fasta_v2.functional.proteins	Fukomys_damarensis__DMR_v1.0_HiC.fasta_v2.functional.proteins	Giraffa_camelopardalis__ASM165123v1_HiC.fasta_v2.functional.proteins	Globicephala_melas__ASM654740v1_HiC.fasta_v2.functional.proteins	Hippotragus_niger__Sable_antelope_Masurca.scf_HiC.fasta_v2.functional.proteins	Lagenorhynchus_obliquidens__ASM367639v1_HiC.fasta_v2.functional.proteins	Lama_glama__Lama_glama_HiC.fasta_v2.functional.proteins	Litocranius_walleri__GRK_HiC.fasta_v2.functional.proteins	Lutra_lutra__mLutLut1_HiC.fasta_v2.functional.proteins	Lycaon_pictus__sis2-181106_HiC.fasta_v2.functional.proteins	Macropus_eugenii__me-1k.fasta_v2.functional.proteins	Macropus_fuliginosus__mf-2k.fasta_v2.functional.proteins	Macropus_giganteus__mg-2k.fasta_v2.functional.proteins	Macropus_rufus__mr-2k.fasta_v2.functional.proteins	Mandrillus_sphinx__BGI_mandrill_1.0_HiC.fasta_v2.functional.proteins	Mesocricetus_auratus__MesAur1.0_HiC.fasta_v2.functional.proteins	Microcebus_murinus__Mmur_3.0_HiC.fasta_v2.functional.proteins	Mirounga_angustirostris__Mirounga_angustirostris_HiC.fasta_v2.functional.proteins	Monodelphis_domestica__MonDom5_HiC.fasta_v2.functional.proteins	Muntiacus_reevesi__CIJ_HiC.fasta_v2.functional.proteins	Mustela_putorius_furo__MusPutFur1.0_HiC.fasta_v2.functional.proteins	Myotis_lucifugus__Myoluc2.0_HiC.fasta_v2.functional.proteins	Nasua_narica__Nasua_narica_HiC.fasta_v2.functional.proteins	Neofelis_nebulosa__Neofelis_nebulosa_HiC.fasta_v2.functional.proteins	Odobenus_rosmarus__Oros_1.0_HiC.fasta_v2.functional.proteins	Odocoileus_virginianus__Ovir.te_1.0_HiC.fasta_v2.functional.proteins	Okapia_johnstoni__ASM166083v1_HiC.fasta_v2.functional.proteins	Orcinus_orca__Oorc_1.1_HiC.fasta_v2.functional.proteins	Orycteropus_afer__OryAfe1.0_HiC.fasta_v2.functional.proteins	Oryctolagus_cuniculus__OryCun2.0_HiC.fasta_v2.functional.proteins	Oryx_dammah__oryx.1_HiC.fasta_v2.functional.proteins	Panthera_onca__Panthera_onca_HiC.fasta_v2.functional.proteins	Panthera_pardus__PanPar1.0_HiC.fasta_v2.functional.proteins	Panthera_tigris__PanTig1.0_HiC.fasta_v2.functional.proteins	Peponocephala_electra__Peponocephala_electra_HiC.fasta_v2.functional.proteins	Peromyscus_crinitus__pecr10X_v2_HiC.fasta_v2.functional.proteins	Peromyscus_nasutus__Peromyscus_nasutus_10x_v1_HiC.fasta_v2.functional.proteins	Phalanger_gymnotis__pg-2k.fasta_v2.functional.proteins	Phoca_vitulina__GSC_HSeal_1.0_HiC.fasta_v2.functional.proteins	Phocoena_phocoena__Phocoena_phocoena_HiC.fasta_v2.functional.proteins	Potos_flavus__Potos_flavus_HiC.fasta_v2.functional.proteins	Procavia_capensis__Pcap_2.0_HiC.fasta_v2.functional.proteins	Procyon_lotor__pl-1k.fasta_v2.functional.proteins	Propithecus_coquereli__Pcoq_1.0_HiC.fasta_v2.functional.proteins	Pseudocheirus_occidentalis__Pseudocheirus_occidentalis_HiC.fasta_v2.functional.proteins	Pseudochirops_corinnae__Pseudochirops_corinnae_HiC.fasta_v2.functional.proteins	Pseudochirops_cupreus__Pseudochirops_cupreus_HiC.fasta_v2.functional.proteins	Pteropus_rufus__Pteropus_rufus_HiC.fasta_v2.functional.proteins	Pteropus_vampyrus__Pvam_2.0_HiC.fasta_v2.functional.proteins	Puma_concolor__PumCon1.0_HiC.fasta_v2.functional.proteins	Saimiri_boliviensis__saiBolDis_HiC.fasta_v2.functional.proteins	Struthio_camelus__ASM69896v1_HiC.fasta_v2.functional.proteins	Suricata_suricatta__meerkat_22Aug2017_6uvM2_HiC.fasta_v2.functional.proteins	Tapirus_indicus__Tapirus_indicus_HiC.fasta_v2.functional.proteins	Trichechus_manatus__TriManLat1.0_HiC.fasta_v2.functional.proteins	Tursiops_aduncus__ASM322739v1_HiC.fasta_v2.functional.proteins	Tursiops_truncatus__NIST_Tur_tru_v1_HiC.fasta_v2.functional.proteins	Ursus_americanus__ASM334442v1_HiC.fasta_v2.functional.proteins	Ursus_arctos__ASM358476v1_HiC.fasta_v2.functional.proteins	Ursus_maritimus__UrsMar_1.0_HiC.fasta_v2.functional.proteins	Vicugna_pacos__Vicugna_pacos-2.0.1_HiC.fasta_v2.functional.proteins	Vombatus_ursinus__vu-2k.fasta_v2.functional.proteins	Vulpes_vulpes__VulVul2.2_HiC.fasta_v2.functional.proteins
Orycteropus_afer__OryAfe1.0_HiC.fasta_v2.functional.proteins	14228	14965	15095	14999	15064	14759	14296	15113	15124	14926	14611	15093	15082	14471	15312	14195	15023	14887	15019	15105	14873	13878	13673	15287	13601	14994	14373	14127	14969	14428	15032	14524	13800	14850	14928	15110	15103	14737	13945	13841	13963	13915	15148	14459	15116	15071	13646	14882	14340	14065	14957	15158	15141	15056	13190	14900	16948	14004	15114	14990	14384	14360	14846	14711	14713	13992	15159	14771	15069	14286	14872	15073	13847	13903	13970	14784	14784	14430	14972	10534	14901	14439	15219	14870	13510	15128	15160	14610	14679	13895	14971
Oryctolagus_cuniculus__OryCun2.0_HiC.fasta_v2.functional.proteins	13530	14051	14127	14004	14078	13885	13438	14192	14179	13971	13739	14141	14119	13590	14317	13246	14067	14017	14057	14154	13920	12969	13001	14106	12868	14030	13479	13158	14058	13661	14039	13550	12864	13892	13926	14110	14111	13929	13022	12941	13049	12999	14216	13575	14197	14099	12780	13947	13425	13402	13963	14190	14210	14117	12260	13901	14004	16055	14158	14064	13464	13676	13903	13829	13842	13077	14209	13828	14102	13132	13908	14095	12937	12963	13000	13831	13856	13726	14054	10041	14007	13451	14073	13892	12903	14177	14202	13748	13765	12999	14110
Oryx_dammah__oryx.1_HiC.fasta_v2.functional.proteins	14466	15293	16443	15623	15490	16247	14665	15495	15523	15130	14765	15356	15447	14670	15390	14327	16952	15132	15484	15483	15453	13849	13824	15270	13919	15384	14583	14740	15258	14581	16250	15040	16121	15350	15346	16632	15505	15110	13892	13848	13962	13902	15471	14671	15416	15432	13648	16093	14726	14308	15304	15516	15577	16486	14317	15435	15114	14158	19228	15341	14680	14637	15480	14909	14889	13991	15603	15297	15465	14254	15151	15356	13810	13874	13923	15075	14997	14678	15231	10608	15205	14926	15224	15409	13917	15501	15596	14944	15032	13922	15406
Panthera_onca__Panthera_onca_HiC.fasta_v2.functional.proteins	16414	15385	15263	15273	15536	14920	14452	15567	15659	14978	14664	15277	15320	14548	15292	14210	15158	14988	15898	16093	15154	13756	13771	15176	14001	15263	14467	14340	15142	14470	15191	14735	13950	15068	15171	15214	15606	15238	13800	13729	13845	13777	15337	14564	15276	15622	13526	15020	14806	14248	15473	18313	15766	15266	13352	15144	14990	14064	15341	20133	17530	17323	15114	14816	14779	13876	15801	14943	15598	14123	15363	15243	13747	13784	13837	14987	14937	16558	15144	10536	15605	14720	15103	15094	13713	15632	15682	15054	14834	13822	15502
Panthera_pardus__PanPar1.0_HiC.fasta_v2.functional.proteins	15703	14803	14673	14599	14841	14285	13894	14976	14958	14347	14067	14630	14725	13899	14692	13603	14562	14378	15171	15402	14516	13180	13128	14519	13372	14655	13821	13711	14551	13877	14612	14121	13346	14478	14506	14612	14937	14553	13234	13142	13278	13204	14658	13944	14678	14997	12983	14436	14117	13625	14735	17511	15066	14623	13098	14506	14384	13464	14680	17530	19198	16554	14457	14157	14126	13301	15101	14371	14879	13493	14643	14567	13167	13198	13256	14372	14295	15971	14491	10076	14933	14051	14458	14483	13127	15011	15071	14457	14247	13258	14803
Panthera_tigris__PanTig1.0_HiC.fasta_v2.functional.proteins	16642	14882	14597	14551	14770	14500	14120	14856	14921	14305	14101	14561	14679	14006	14691	13587	14559	14325	15140	15305	14429	13190	13505	14493	13372	14571	13815	13687	14438	14100	14522	14079	13394	14348	14434	14564	14879	14700	13232	13164	13269	13218	14693	13909	14580	14873	13027	14487	14195	13867	14665	17335	14995	14626	12752	14441	14360	13676	14637	17323	16554	19150	14405	14166	14152	13306	15039	14244	14844	13515	14617	14512	13147	13201	13259	14281	14337	16205	14442	10361	15042	14021	14463	14399	13231	14927	14949	14828	14412	13275	14916
Peponocephala_electra__Peponocephala_electra_HiC.fasta_v2.functional.proteins	14258	15005	15318	16826	15325	14951	14438	15202	15228	14884	14514	15164	15210	14445	15158	14143	15184	14864	15175	15221	17448	13675	13636	15011	13680	15140	14336	15796	14995	14347	15247	18057	13989	17751	15164	15271	15239	14816	13755	13690	13791	13740	15184	14407	15137	15184	13474	15022	14459	14107	15052	15295	15325	15330	13434	17871	14846	13903	15480	15114	14457	14405	19691	14637	14641	13822	15353	17134	15175	14023	14911	15125	13649	13711	13761	14855	14802	14438	15000	10560	14964	14761	14980	17942	15955	15185	15270	14631	14806	13736	15074
Peromyscus_crinitus__pecr10X_v2_HiC.fasta_v2.functional.proteins	14041	14727	14859	14765	14842	14521	14111	14903	14945	14823	14519	14883	14840	14388	14972	14042	14788	15441	14828	14940	14679	13645	13459	14844	13406	14798	14309	13895	14783	14306	14781	14322	13611	14601	14716	14845	14898	14569	13676	13641	13732	13679	14936	14922	14920	14859	13435	14650	14180	13912	14749	14978	14987	14883	12976	14670	14711	13829	14909	14816	14157	14166	14637	17769	16128	13745	14993	14496	14904	13911	14668	14822	13608	13669	13713	14571	14529	14216	14782	10480	14711	14244	14777	14645	13339	14932	15002	14436	14442	13724	14806
Peromyscus_nasutus__Peromyscus_nasutus_10x_v1_HiC.fasta_v2.functional.proteins	14012	14739	14858	14763	14832	14496	14095	14915	14968	14821	14489	14864	14827	14404	14945	14056	14768	15466	14801	14924	14657	13639	13452	14831	13390	14763	14293	13889	14773	14296	14773	14282	13596	14607	14710	14819	14900	14557	13692	13618	13723	13669	14931	14909	14917	14884	13438	14643	14167	13925	14756	14917	14989	14861	12976	14658	14713	13842	14889	14779	14126	14152	14641	16128	17765	13770	14997	14528	14866	13913	14653	14843	13631	13680	13735	14571	14546	14191	14780	10472	14692	14222	14749	14637	13333	14927	14976	14439	14444	13683	14801
Phalanger_gymnotis__pg-2k.fasta_v2.functional.proteins	13163	13821	13952	13898	13992	13683	13237	13975	14025	13893	13689	14019	13862	13523	14172	13304	13883	13903	13952	14018	13832	14171	12759	14050	12597	13847	13434	13096	13846	13492	13893	13491	12762	13786	13846	13967	13970	13669	14582	14552	14605	14512	14001	13564	13988	13926	13988	13748	13289	13142	13878	14002	14019	13932	12256	13836	13992	13077	13991	13876	13301	13306	13822	13745	13770	16628	14006	13741	13978	13249	13825	13995	14593	14639	14700	13726	13719	13368	13923	10398	13813	13343	13957	13816	12641	13968	13988	13489	13562	14532	13884
Phoca_vitulina__GSC_HSeal_1.0_HiC.fasta_v2.functional.proteins	14830	16020	15514	15520	16119	15147	14671	16010	16095	15171	14833	15523	15560	14721	15498	14376	15401	15246	15740	15908	15420	13908	13920	15370	14611	15518	14652	14602	15353	14654	15434	14985	14187	15311	15350	15461	16275	15643	13942	13866	14006	13914	15611	14739	15514	17664	13679	15247	15390	14408	16044	15982	17477	15547	13544	15398	15159	14209	15603	15801	15101	15039	15353	14993	14997	14006	19730	15198	16324	14294	15902	15430	13861	13895	13965	15223	15148	15044	15379	10638	15510	14937	15291	15372	13895	16416	16582	15823	15015	13958	15942
Phocoena_phocoena__Phocoena_phocoena_HiC.fasta_v2.functional.proteins	14095	14918	15222	16466	15182	14816	14357	15118	15095	14735	14449	15034	15117	14330	15096	14044	15109	14732	15071	15096	17319	13635	13525	14884	13579	15085	14218	15585	14940	14272	15163	16600	13906	17018	15013	15159	15053	14682	13679	13617	13737	13668	15062	14331	15056	15106	13387	14955	14296	14032	14903	15123	15175	15172	13303	16923	14771	13828	15297	14943	14371	14244	17134	14496	14528	13741	15198	18893	15033	13935	14753	14960	13598	13657	13710	14813	14708	14352	14853	10511	14815	14647	14881	16990	15318	15117	15207	14549	14725	13667	14928
Potos_flavus__Potos_flavus_HiC.fasta_v2.functional.proteins	14642	15825	15375	15347	16156	15032	14556	15733	15833	15071	14703	15377	15416	14600	15357	14277	15264	15115	15598	15732	15214	13853	13832	15256	14432	15336	14540	14434	15211	14510	15305	14815	14067	15132	15252	15340	16108	15410	13881	13815	13951	13898	15429	14645	15343	16083	13640	15114	15213	14294	16068	15758	16263	15396	13447	15197	15069	14102	15465	15598	14879	14844	15175	14904	14866	13978	16324	15033	18380	14190	15938	15293	13827	13868	13940	15034	14959	14874	15233	10600	15351	14757	15158	15174	13786	16014	16141	15419	14897	13913	15683
Procavia_capensis__Pcap_2.0_HiC.fasta_v2.functional.proteins	13416	14059	14186	14117	14179	13900	13470	14203	14236	14063	13840	14172	14199	13733	14322	13372	14124	14060	14203	14261	14057	13123	12910	14444	12733	14103	13589	13331	14080	13633	14123	13676	12931	14007	14091	14205	14216	13891	13182	13114	13222	13162	14285	13694	14187	14183	13000	13989	13473	13283	14081	14271	14254	14203	12338	14056	14286	13132	14254	14123	13493	13515	14023	13911	13913	13249	14294	13935	14190	15733	13979	14163	13070	13142	13211	13931	13957	13587	14085	10044	14056	13580	14412	14021	12765	14235	14281	13754	13843	13187	14117
Procyon_lotor__pl-1k.fasta_v2.functional.proteins	14443	15447	15024	15084	16191	14745	14285	15447	15536	14849	14468	15094	15071	14378	15115	14064	14961	14828	15369	15450	14958	13644	13682	15008	14108	15054	14296	14180	14915	14284	15007	14554	13776	14854	14998	15054	15800	15125	13717	13654	13758	13700	15110	14402	15070	15681	13437	14817	14858	14108	15784	15468	15811	15071	13219	14945	14872	13908	15151	15363	14643	14617	14911	14668	14653	13825	15902	14753	15938	13979	18214	15038	13676	13716	13777	14793	14731	14643	15030	10408	15097	14482	14942	14925	13592	15657	15739	15084	14635	13735	15355
Propithecus_coquereli__Pcoq_1.0_HiC.fasta_v2.functional.proteins	14347	15113	15270	15258	15240	14900	14449	15299	15358	15109	14712	15580	15279	14606	15378	14346	15163	15036	15238	15333	15147	13816	13764	15235	13772	15204	14586	14362	15833	14524	15176	14743	13940	15038	15144	15245	15330	14953	13854	13805	13929	13862	15677	14585	15969	15286	13603	15021	14588	14175	15139	15388	15417	15255	13365	15127	15073	14095	15356	15243	14567	14512	15125	14822	14843	13995	15430	14960	15293	14163	15038	18052	13810	13878	13943	14967	14889	14559	15530	10519	15062	14656	15170	15124	13694	15326	15370	14738	14778	13879	15235
Pseudocheirus_occidentalis__Pseudocheirus_occidentalis_HiC.fasta_v2.functional.proteins	13046	13681	13780	13730	13834	13505	13068	13826	13887	13725	13548	13901	13693	13398	14065	13176	13737	13759	13804	13861	13682	14061	12627	13851	12438	13680	13300	12909	13661	13359	13746	13322	12616	13648	13666	13817	13831	13532	14395	14357	14443	14363	13850	13433	13827	13770	13821	13586	13144	13021	13757	13845	13889	13780	12093	13688	13847	12937	13810	13747	13167	13147	13649	13608	13631	14593	13861	13598	13827	13070	13676	13810	16820	14880	14945	13553	13553	13243	13785	10290	13647	13178	13786	13663	12500	13838	13834	13354	13397	14314	13722
Pseudochirops_corinnae__Pseudochirops_corinnae_HiC.fasta_v2.functional.proteins	13077	13726	13869	13816	13883	13570	13143	13866	13921	13807	13604	13924	13756	13438	14097	13201	13770	13811	13840	13895	13735	14103	12670	13930	12514	13726	13343	12976	13725	13399	13814	13372	12664	13695	13721	13873	13851	13532	14486	14428	14531	14407	13893	13490	13881	13833	13874	13646	13161	13060	13759	13903	13907	13833	12150	13734	13903	12963	13874	13784	13198	13201	13711	13669	13680	14639	13895	13657	13868	13142	13716	13878	14880	17114	15688	13612	13594	13279	13838	10346	13700	13236	13839	13724	12533	13845	13859	13362	13445	14398	13755
Pseudochirops_cupreus__Pseudochirops_cupreus_HiC.fasta_v2.functional.proteins	13127	13799	13913	13832	13907	13606	13189	13933	13979	13842	13678	13996	13832	13506	14123	13258	13831	13867	13885	13964	13778	14131	12731	13974	12550	13778	13423	13012	13799	13459	13850	13417	12725	13754	13799	13918	13893	13620	14507	14465	14557	14451	13951	13522	13946	13887	13970	13676	13241	13121	13834	13950	13955	13882	12194	13790	13970	13000	13923	13837	13256	13259	13761	13713	13735	14700	13965	13710	13940	13211	13777	13943	14945	15688	17177	13664	13653	13333	13899	10370	13759	13303	13910	13768	12587	13918	13918	13431	13516	14474	13831
Pteropus_rufus__Pteropus_rufus_HiC.fasta_v2.functional.proteins	14104	14942	15052	14949	15038	14662	14325	15135	15129	14747	14488	14976	15111	14365	15034	14100	14970	14833	15019	15129	14903	13640	14075	14926	13636	15026	14310	14143	14989	14323	14995	14518	13801	14883	14940	15014	15094	14707	13649	13601	13706	13650	15030	14407	15094	15124	13385	14797	14354	14132	14900	15123	15189	14988	13115	14885	14784	13831	15075	14987	14372	14281	14855	14571	14571	13726	15223	14813	15034	13931	14793	14967	13553	13612	13664	17351	16414	14337	14790	10523	14887	14484	14888	14862	13518	15128	15249	14571	14705	13689	14975
Pteropus_vampyrus__Pvam_2.0_HiC.fasta_v2.functional.proteins	14186	14925	14989	14865	14970	14696	14302	15053	15038	14705	14443	14901	15064	14339	15052	14016	14920	14740	14953	15048	14795	13626	14208	14881	13527	14952	14231	14050	14888	14313	14923	14446	13726	14774	14857	14969	15014	14722	13643	13578	13692	13658	15012	14336	15015	15028	13381	14789	14292	14168	14841	15051	15096	14934	13050	14815	14784	13856	14997	14937	14295	14337	14802	14529	14546	13719	15148	14708	14959	13957	14731	14889	13553	13594	13653	16414	17529	14380	14770	10525	14865	14391	14869	14798	13500	15083	15137	14602	14649	13673	14957
Puma_concolor__PumCon1.0_HiC.fasta_v2.functional.proteins	16352	14886	14663	14580	14859	14403	14001	14939	14945	14314	14127	14586	14719	13967	14721	13638	14623	14378	15097	15290	14470	13262	13468	14520	13411	14610	13857	13761	14512	14035	14584	14099	13440	14450	14452	14622	14857	14663	13305	13228	13352	13268	14699	13971	14652	14936	13069	14505	14176	13854	14709	16745	15007	14637	12808	14477	14430	13726	14678	16558	15971	16205	14438	14216	14191	13368	15044	14352	14874	13587	14643	14559	13243	13279	13333	14337	14380	18621	14494	10335	14925	14045	14512	14441	13365	15000	15027	14680	14345	13326	14866
Saimiri_boliviensis__saiBolDis_HiC.fasta_v2.functional.proteins	14283	15002	15136	15168	15190	14833	14322	15250	15320	14978	14619	17529	15130	14504	15358	14197	15023	14933	15131	15217	15073	13752	13657	15097	13679	15035	14436	14259	15308	14434	15016	14651	13841	14960	15021	15129	15228	14887	13814	13763	13874	13827	16902	14486	15477	15233	13531	14880	14484	14169	15065	15295	15332	15146	13255	15048	14972	14054	15231	15144	14491	14442	15000	14782	14780	13923	15379	14853	15233	14085	15030	15530	13785	13838	13899	14790	14770	14494	20219	10437	14953	14448	15054	15026	13643	15252	15286	14696	14687	13820	15168
Struthio_camelus__ASM69896v1_HiC.fasta_v2.functional.proteins	10272	10562	10611	10594	10567	10487	10218	10616	10626	10484	10486	10534	10627	10379	10639	10107	10575	10581	10546	10616	10550	10417	9817	10602	9617	10607	10192	9982	10552	10455	10573	10285	9766	10568	10542	10582	10592	10462	10407	10371	10449	10419	10591	10346	10611	10584	10334	10526	10111	10186	10505	10646	10622	10602	9365	10574	10534	10041	10608	10536	10076	10361	10560	10480	10472	10398	10638	10511	10600	10044	10408	10519	10290	10346	10370	10523	10525	10335	10437	11254	10537	10172	10568	10534	10011	10617	10652	10494	10527	10403	10600
Suricata_suricatta__meerkat_22Aug2017_6uvM2_HiC.fasta_v2.functional.proteins	14824	15276	15135	15086	15327	14852	14430	15375	15435	14892	14595	15097	15219	14505	15202	14128	15055	14921	15690	15928	14993	13686	13768	15049	13795	15074	14373	14207	14977	14475	15070	14624	13860	14950	15020	15115	15385	15084	13755	13685	13803	13734	15226	14444	15133	15370	13479	14957	14640	14159	15224	15805	15499	15164	13215	15008	14901	14007	15205	15605	14933	15042	14964	14711	14692	13813	15510	14815	15351	14056	15097	15062	13647	13700	13759	14887	14865	14925	14953	10537	17619	14520	14985	14975	13606	15432	15466	14941	14789	13743	15328
Tapirus_indicus__Tapirus_indicus_HiC.fasta_v2.functional.proteins	13824	14639	14775	14894	14898	14386	13982	14793	14799	14420	14087	14613	15130	14006	14674	13690	14629	14448	14837	14853	14613	13246	13228	14577	13291	15033	13933	14034	14650	13936	14689	14226	13442	14599	14641	14729	14806	14413	13267	13210	13328	13273	14742	14015	14775	14819	13043	14491	14042	13682	14626	14850	14929	14748	12888	14621	14439	13451	14926	14720	14051	14021	14761	14244	14222	13343	14937	14647	14757	13580	14482	14656	13178	13236	13303	14484	14391	14045	14448	10172	14520	16900	14546	14585	13189	14839	14971	14314	14386	13295	14693
Trichechus_manatus__TriManLat1.0_HiC.fasta_v2.functional.proteins	14289	15023	15174	15159	15138	14802	14408	15172	15233	14994	14684	15202	15200	14555	15352	14215	15076	14953	15124	15218	15035	13864	13694	15570	13661	15095	14458	14249	15065	14486	15083	14655	13872	14965	15027	15157	15204	14837	13893	13829	13946	13899	15262	14514	15239	15173	13643	14955	14443	14128	15025	15289	15278	15150	13273	15029	15219	14073	15224	15103	14458	14463	14980	14777	14749	13957	15291	14881	15158	14412	14942	15170	13786	13839	13910	14888	14869	14512	15054	10568	14985	14546	17084	15013	13627	15206	15243	14683	14783	13882	15077
Tursiops_aduncus__ASM322739v1_HiC.fasta_v2.functional.proteins	14241	15022	15330	16615	15148	14960	14422	15196	15228	14877	14533	15169	15221	14437	15217	14124	15217	14860	15110	15231	17509	13678	13617	15035	13683	15129	14353	15574	15013	14358	15261	17591	14012	17868	15152	15276	15219	14827	13741	13666	13794	13733	15223	14419	15146	15185	13472	15037	14457	14099	15038	15288	15311	15348	13419	17891	14870	13892	15409	15094	14483	14399	17942	14645	14637	13816	15372	16990	15174	14021	14925	15124	13663	13724	13768	14862	14798	14441	15026	10534	14975	14585	15013	19590	16321	15212	15288	14637	14781	13741	15089
Tursiops_truncatus__NIST_Tur_tru_v1_HiC.fasta_v2.functional.proteins	13126	13703	13889	14903	13763	13627	13110	13811	13839	13496	13231	13754	13801	13104	13864	12820	13833	13508	13732	13818	15594	12557	12596	13643	12458	13737	13024	14054	13648	13123	13842	15581	12710	16043	13735	13853	13784	13549	12588	12521	12636	12567	13777	13125	13777	13788	12392	13675	13073	13027	13649	13839	13866	13861	12194	15894	13510	12903	13917	13713	13127	13231	15955	13339	13333	12641	13895	15318	13786	12765	13592	13694	12500	12533	12587	13518	13500	13365	13643	10011	13606	13189	13627	16321	17543	13822	13889	13408	13479	12612	13680
Ursus_americanus__ASM334442v1_HiC.fasta_v2.functional.proteins	14774	15899	15468	15372	15913	15107	14665	15882	15871	15115	14785	15391	15512	14651	15457	14334	15386	15172	15605	15759	15281	13848	13866	15247	14459	15467	14567	14490	15297	14656	15373	14866	14157	15218	15242	15420	16046	15480	13915	13817	13958	13894	15466	14703	15429	16246	13644	15238	15202	14392	15820	15807	16311	15440	13492	15244	15128	14177	15501	15632	15011	14927	15185	14932	14927	13968	16416	15117	16014	14235	15657	15326	13838	13845	13918	15128	15083	15000	15252	10617	15432	14839	15206	15212	13822	19833	18671	17768	15030	13928	15761
Ursus_arctos__ASM358476v1_HiC.fasta_v2.functional.proteins	14757	15994	15536	15453	16031	15137	14724	15991	15968	15169	14826	15457	15616	14701	15463	14378	15435	15240	15686	15832	15350	13862	13866	15285	14570	15590	14622	14574	15374	14670	15483	14947	14228	15316	15333	15490	16173	15540	13930	13835	13979	13916	15515	14757	15505	16414	13647	15282	15282	14427	15897	15881	16467	15506	13533	15323	15160	14202	15596	15682	15071	14949	15270	15002	14976	13988	16582	15207	16141	14281	15739	15370	13834	13859	13918	15249	15137	15027	15286	10652	15466	14971	15243	15288	13889	18671	20111	18226	15082	13945	15841
Ursus_maritimus__UrsMar_1.0_HiC.fasta_v2.functional.proteins	14677	15497	14904	14824	15303	14754	14387	15323	15302	14571	14338	14813	14981	14245	14923	13826	14841	14632	15006	15165	14698	13390	13579	14690	13957	14927	14054	13989	14749	14338	14828	14319	13697	14662	14688	14867	15455	15043	13441	13361	13504	13422	14928	14195	14858	15667	13182	14796	14710	14040	15202	15210	15750	14907	12998	14674	14610	13748	14944	15054	14457	14828	14631	14436	14439	13489	15823	14549	15419	13754	15084	14738	13354	13362	13431	14571	14602	14680	14696	10494	14941	14314	14683	14637	13408	17768	18226	19240	14695	13454	15355
Vicugna_pacos__Vicugna_pacos-2.0.1_HiC.fasta_v2.functional.proteins	14237	14926	15008	14927	14866	14793	15513	15000	14989	14654	14392	14817	15015	14310	14924	13923	14942	14661	14879	14961	14821	13483	13573	14802	13457	14923	14125	14102	14822	14339	14932	14459	13756	14801	16396	14946	14944	14694	13492	13445	13568	13499	14922	14232	14926	14947	13273	14864	14285	14019	14741	14989	14990	14961	13107	14827	14679	13765	15032	14834	14247	14412	14806	14442	14444	13562	15015	14725	14897	13843	14635	14778	13397	13445	13516	14705	14649	14345	14687	10527	14789	14386	14783	14781	13479	15030	15082	14695	17395	13535	14959
